"urlDrugName","rating","effectiveness","sideEffects","condition","benefitsReview","sideEffectsReview","sideEffectsNumber","effectivenessNumber","weightedRating","ratingLabel","sideEffectsInverse","benefits_preprocesado","effects_preprocesado"
"buprenorphine",10,"Highly Effective","No Side Effects","major depression","Subutex is mostly used to help opiate addicts withdrawal more comfortably from opiod drugs such as Vicodin, Oxycodone, and even Heroin. However, I was started on Subutex because my doctor and I were having no luck finding another med that would augment my current depression medications of Effexor XR and Adderall (which were only partially working). My doctor had found research suggesting that Subutex, because it is a partial opiate agonist itself (although much different in its properties compared to what most think of when thinking ""opiate""), binds to one of the opiate receptors in the brain responsible for mood. My doctor has always been on the cutting edge of current research and was extremely open-minded in trying this med with me - and to welcomed relief as well! I have had almost ALL good results from this medication. It has definitely aided in the treatment of my very-treatment-resistent depression. The following are the benefits that I have noticed from taking Subutex:


     1. Quick-acting - because Subutex is sublingual (dissolves under your tongue) it gets into your system immediately and does not have to be processed by your digestive system first.


     2. Gentle effects - I have definitly not experienced any ""highs"". Just a subtle, but noticeable improvement in a feeling of wellbeing.


     3. Also helps somewhat with anxiety by having a calming effect; in normal doses this happens without any tiredness.


     4. Have not noticed ANY of the side effects that I have found with other psychiatric medications such as weight gain/loss, personality changes, sexual effects, etc. Also, in case anyone is worried that Subutex is a ""partial-opiate agonist"", I must emphasize that this med DOES NOT build a tolerance or make you want/need to increase dosage. I have been on this dose for four years without ever even thinking about needing more. HOWEVER!!! You must understand that - as is the case with ALL psychiatric medications - you cannot simply stop taking this medication without tapering your dose first or you will experience withdrawal effects. The one saving grace about Subutex, though, is that it has a very long half-life and will remain in your system long enough to prevent any type of withdrawal even if you miss a day or two of medication.","None.",1,5,10,1,5,"subutex most use help opiat addict withdraw comfort opiod drug vicodin oxycodon even heroin howev start subutex doctor luck find anoth med augment current depress medic effexor xr adderal partial work doctor found research suggest subutex partial opiat agonist although much differ properti compar think think opiat bind one opiat receptor brain respons mood doctor alway cut edg current research extrem openmind tri med welcom relief well almost good result medic definit aid treatment verytreatmentresist depress follow benefit notic take subutex 1 quickact subutex sublingu dissolv tongu get system immedi process digest system first 2 gentl effect definit experienc high just subtl notic improv feel wellb 3 also help somewhat anxieti calm effect normal dose happen without tired 4 notic side effect found psychiatr medic weight gainloss person chang sexual effect etc also case anyon worri subutex partialopi agonist must emphas med build toler make wantne increas dosag dose four year without ever even think need howev must understand case psychiatr medic simpli stop take medic without taper dose first will experi withdraw effect one save grace subutex though long halflif will remain system long enough prevent type withdraw even miss day two medic","none"
"fiorinal",5,"Moderately Effective","No Side Effects","tension headaches","It assisted the ibuprofen and cortizone in pain relief.","I had no side effects.",1,3,8,1,5,"assist ibuprofen cortizon pain relief","side effect"
"doxycycline",4,"Marginally Effective","Mild Side Effects","acne","I originally began this treatment for acne and I'm still in the process of my acne treatments. However, after a little over two weeks of treatment and seeing an improvement in my skin, I went in for a pap smear and found out that I have asymptomatic chlamydia. I was prescribed 1 gram of Azithromycin and while doing my research found out that the exact same dosage I've been taking of doxycycline for 1-2 weeks is considered an effective way of treating chlamydia, but clearly that did not work for me.","There was one morning I only had an 80 calorie granola bar for breakfast and I took my dose and I ended up having terrible nausea. Will never make that mistake again.",2,2,6,0,4,"origin began treatment acn im still process acn treatment howev littl two week treatment see improv skin went pap smear found asymptomat chlamydia prescrib 1 gram azithromycin research found exact dosag ive take doxycyclin 12 week consid effect way treat chlamydia clear work","one morn 80 calori granola bar breakfast took dose end terribl nausea will never make mistak"
"propecia",9,"Considerably Effective","Mild Side Effects","hair loss","My hair loss was stopped and I eventually grew new hair at the hairline and where the hair had receded on the side. I do not know if it affected my crown.","I noticed a slightly lowered libido and possibly a more slowly growing beard. My libido seems to be back to normal.",2,4,8,1,4,"hair loss stop eventu grew new hair hairlin hair reced side know affect crown","notic slight lower libido possibl slowli grow beard libido seem back normal"
"trazodone",10,"Considerably Effective","Mild Side Effects","depression/difficulty sleeping","I took it before bed, and it helped me get to sleep. It also helped me cope during a difficult time emotionally.","The drug is an anti-depressant. The side effect was sleepiness, which is also therapeutic when taken at night.",2,4,8,1,4,"took bed help get sleep also help cope difficult time emot","drug antidepress side effect sleepi also therapeut taken night"
"zomig",9,"Highly Effective","Mild Side Effects","persistant migraines","Elminated 95% of Migraines/Headaches!","Within about 15-30 min, I start feeling mild tingling in my throat, back of my neck & chest. Its a little scary the first time, but it only lasts for about 10-15 min and then my migraine disappears with the side effects! No drowsiness or feeling groggy like others have complained of in my experience. I have found that it is more effective and works more quickly if I'm able to lay down in quiet when I ""feel"" it starting to work.",2,5,10,1,4,"elmin 95 migrainesheadach","within 1530 min start feel mild tingl throat back neck chest littl scari first time last 1015 min migrain disappear side effect drowsi feel groggi like other complain experi found effect work quick im abl lay quiet feel start work"
"climara",4,"Marginally Effective","Severe Side Effects","menopause, memory loss, night sweats, low libido","nothing noticeable really, night sweats improved (slightly), memory, not as fuzzy","Weight gain 4 lbs, my weight has  always been stable, bloatiness/gas (uncomfortable)


hair loss (more than usual and thinner), depression (crying for no reason)",4,2,4,0,2,"noth notic realli night sweat improv slight memori fuzzi","weight gain 4 lbs weight alway stabl bloatinessga uncomfort hair loss usual thinner depress cri reason"
"ortho-tri-cyclen",9,"Highly Effective","Mild Side Effects","pregnancy prevention","Benefits were the prevention of pregnancy, regular periods, shorter periods, and less intense pms symptoms.  My breasts went from a full C cup to a full D cup!  I'm on lexapro so that might be the reason i didn't experience really bad mood swings or any depression like some people said they have.  Nothing really changed other than that and it's great to know when i will get my period.","For the first month of taking ortho tri cyclen i was a little moody.  When my period started the first month i was very moody but that only lasted about 3 days.  The second month of my period my pms calmed down and now i have no mood swings and only one day of cramps.",2,5,10,1,4,"benefit prevent pregnanc regular period shorter period less intens pms symptom breast went full c cup full d cup im lexapro might reason didnt experi realli bad mood swing depress like peopl said noth realli chang great know will get period","first month take ortho tri cyclen littl moodi period start first month moodi last 3 day second month period pms calm now mood swing one day cramp"
"synthroid",8,"Moderately Effective","No Side Effects","hypothyroidism","The drug Levothyroxine 100 mics daily that I took for hypothyroidism was advantagious for my metobolic effect. I did have more energy and felt more alert and awake, as before where I felt lithargic and brain dead.If I inadvertantly skipped a day of medication, I felt like I would notice my sluggishness a few days later.","I had no side effects.",1,3,8,1,5,"drug levothyroxin 100 mic daili took hypothyroid advantagi metobol effect energi felt alert awak felt litharg brain deadif inadvert skip day medic felt like notic sluggish day later","side effect"
"elavil",7,"Considerably Effective","Moderate Side Effects","depression/insomnia","This medication was prescribed for its side effect of drowsiness.  Although it is mainly used as an anti-depressant, in the tricyclic family, it causes considerable drowsiness at even a low dose of 50mg.  This immediately helped with my insomnia.  It also caused no daytime ""hangover"" effect and the dose can be increased easily.","The major side effect of drowsiness is desirable in my case, but it also has a marked side effect of weight gain.  In addition, there is a dry mouth effect that seems to resolve after a month or two.",3,4,8,1,3,"medic prescrib side effect drowsi although main use antidepress tricycl famili caus consider drowsi even low dose 50mg immedi help insomnia also caus daytim hangov effect dose can increas easili","major side effect drowsi desir case also mark side effect weight gain addit dri mouth effect seem resolv month two"
"xalatan",8,"Considerably Effective","Mild Side Effects","glaucoma","lowering of intraocular  pressure /keeping it under control","A slight change in the coulour of the treated eye.",2,4,8,1,4,"lower intraocular pressur keep control","slight chang coulour treat eye"
"motrin",7,"Considerably Effective","Mild Side Effects","prostatitis (chronically)","The symptoms and mal feelings of my prostate disapeared - but not completely (perhaps 70% of the Problems disapeared).


Sexual Funktion and feelings of prostate improved remarkable.





(Only 70% of improvement perhaps my personal problems were not solved with Ibuprofen - and such problem put a lot of stress on prostata in some men)","There were hardly any noticeable side effects.


The only thing I had to care about, was to take the medicine (Ibuprofen) with food/ a meal because otherwise it would cause gastric problems.


And I took the second daily pill with dinner and left some ours before go to sleep.


Perhaps Ibuprofen causes a light drop in bloodsugar - but I�m not definitely sure about that.",2,4,8,1,4,"symptom mal feel prostat disapear complet perhap 70 problem disapear sexual funktion feel prostat improv remark 70 improv perhap person problem solv ibuprofen problem put lot stress prostata men","hard notic side effect thing care take medicin ibuprofen food meal otherwis caus gastric problem took second daili pill dinner left go sleep perhap ibuprofen caus light drop bloodsugar �m definit sure"
"citalopram",4,"Moderately Effective","Moderate Side Effects","depression","Some symptoms of depression - crying all the time, dark thoughts - were lessened, although hard to know how much benefit the treatment gave all told or whether I would have come through it anyway as I had in the past.","When started on treatment: vivid images when eyes closed, trembling, anxiety, feeling of detachedness


Throughout treatment: Insomnia and disrupted sleep patterns, some dizziness at times, muscular twitching, fidgeting and spasming, weight loss due mostly to fidgeting all the time


Coming off treatment: what others have termed ""brain shivers"", a sort of brain zing which was very disturbing, crying, feeling like the depression was coming back",3,3,6,0,3,"symptom depress cri time dark thought lessen although hard know much benefit treatment gave told whether come anyway past","start treatment vivid imag eye close trembl anxieti feel detached throughout treatment insomnia disrupt sleep pattern dizzi time muscular twitch fidget spasm weight loss due most fidget time come treatment other term brain shiver sort brain zing disturb cri feel like depress come back"
"prozac",7,"Considerably Effective","Moderate Side Effects","depression","The drug seemed to effectively treat the symptoms of depression for a year or so.  After the first year or so the depression seemed to come back now and then - although it did seem to be cyclical.","Nausea if taken on an empty stomach, shakiness, dry mouth.",3,4,8,1,3,"drug seem effect treat symptom depress year first year depress seem come back now although seem cyclic","nausea taken empti stomach shaki dri mouth"
"renova",7,"Moderately Effective","Severe Side Effects","acne","skin looked healthier with fewer break outs and was smoother. I noticed pores becoming smaller","reddness, flaking, sensitive skin. Was not able to tolerate any other skin care products",4,3,6,1,2,"skin look healthier fewer break out smoother notic pore becom smaller","redd flake sensit skin abl toler skin care product"
"lexapro",8,"Considerably Effective","Moderate Side Effects","depression","I have clinical depression with aggitation and anger. This medication seemed to take the edge off the anger as well as decrease my depressive symptoms. I started at 10mg, then shortly increased to 20mg, which left me feeling too drugged. It was only after 12+ months of taking 10 mg that it was increased due to increasing depressive symptoms.","Initially the medication made me very drowsy. I began taking it at bedtime, which seemed to eleviate that particular concern.  I think there may have been some weight gain, but I am not certain that it was specifically related to the Lexapro. Also, I did initially have difficult acheiving orgasm, but this side effect seemed to diminish within 6-9 months.",3,4,8,1,3,"clinic depress aggit anger medic seem take edg anger well decreas depress symptom start 10mg short increas 20mg left feel drug 12 month take 10 mg increas due increas depress symptom","initi medic made drowsi began take bedtim seem elevi particular concern think may weight gain certain specif relat lexapro also initi difficult acheiv orgasm side effect seem diminish within 69 month"
"biaxin",10,"Highly Effective","Mild Side Effects","asthmatic bronchitis","In addition to quickly resolving Bronchitis, asthma improved significantly. Better breathing than I've had in months (prior to bronchitis). Had horrible coughing spasms that caused me to vomit phlegm and almost strangle (several times). Cough and throat irritation diappeared within 2 hours of first dose of Biaxin.","Bad taste in mouth in morning only, easily fixed with brushing. Some vivid dreams.",2,5,10,1,4,"addit quick resolv bronchiti asthma improv signific better breath ive month prior bronchiti horribl cough spasm caus vomit phlegm almost strangl sever time cough throat irrit diappear within 2 hour first dose biaxin","bad tast mouth morn easili fix brush vivid dream"
"cytomel",10,"Highly Effective","No Side Effects","hypothyroid","when the standard treatment for hypothyroid didn't work to raise my baseline t3 & t4 levels, i continued to experience all of the low thyroid symptomsA:  coldness, lethargic, depression, etc.  by taking cytomel on the 5 x daily basis, i have very close to normal functioning thyroid activity.","the effects are good, if I took all at once as originally prescribed i got too jittery and hot initially, followed by a bit of a crash.  the way to do it is throughout the day in the smaller dose.",1,5,10,1,5,"standard treatment hypothyroid didnt work rais baselin t3 t4 level continu experi low thyroid symptomsa cold letharg depress etc take cytomel 5 x daili basi close normal function thyroid activ","effect good took origin prescrib got jitteri hot initi follow bit crash way throughout day smaller dose"
"accutane",10,"Highly Effective","Mild Side Effects","acne","Accutane cleared up my skin immediately. During the first month, there was no noticeable change, but after about 5 weeks, my acne slowly disappeared and has not come back.","Dry lips, dry skin, dry hair, dry eyes and sensitivity to sunlight.",2,5,10,1,4,"accutan clear skin immedi first month notic chang 5 week acn slowli disappear come back","dri lip dri skin dri hair dri eye sensit sunlight"
"percocet",6,"Considerably Effective","Mild Side Effects","back pain","The benefits helped ""curb"" the pain.","Constipation, sweating and rapid heart rate.",2,4,8,1,4,"benefit help curb pain","constip sweat rapid heart rate"
"oxazepam",10,"Highly Effective","Mild Side Effects","anxiety due to relationship stress","I would get heart palpitations and major stress hours before my ex would come and pick up our daughter for visits; I also had difficulty sleeping if I had to deal with any issues with him; I would take one of these pills, only if I felt I needed and sometimes an hour before he would pick her up, and I would feel much calmer.  It was a life saver for  me until I got through the emotional upset and was able to detach.","Virtually no side effects, other than very slight drowsiness several hours after taking it...almost not noticeable.",2,5,10,1,4,"get heart palpit major stress hour ex come pick daughter visit also difficulti sleep deal issu take one pill felt need sometim hour pick feel much calmer life saver got emot upset abl detach","virtual side effect slight drowsi sever hour take italmost notic"
"prinivil",1,"Moderately Effective","Extremely Severe Side Effects","hypertension","My mother had slight high blood pressure and was prescribed Lisinopril along with the water pill. The medication was doing its job, lowering BP to normal.","Patient started with a sporadic cough. Any fragrance at all no matter how light the fragrance was would trigger a cough attack. Patient thought it was allergies. It then worsened and she was coughing day and night. She couldn't even sleep. It became so severe she was coughing all the time, when she talked when she ate. It was exhausting and debilitating, the cough was killing her. She then thought it was some lung problem, although she is not a smoker.  She went to the Dr and Dr did a few allergy test and lung x rays.  Well, then finally Dr checked high blood pressure medication.  Yes, of course!!! it was the medication.  She stopped taking it and the cough was completely gone, just like magic.",5,3,4,0,1,"mother slight high blood pressur prescrib lisinopril along water pill medic job lower bp normal","patient start sporad cough fragranc matter light fragranc trigger cough attack patient thought allergi worsen cough day night couldnt even sleep becam sever cough time talk ate exhaust debilit cough kill thought lung problem although smoker went dr dr allergi test lung x ray well final dr check high blood pressur medic yes cours medic stop take cough complet gone just like magic"
"atenolol",10,"Highly Effective","Mild Side Effects","hypertension","the overall experience was positive, with little to no side effects, blood pressure medicine dropping blood pressure from 180/100 to 117/70 in 3 months.  lower blood pressure prevents heart disease and risk of stroke or other ailments associated with hypertension.","for a few months the rapid drop in blood pressure resulted in slight dizziness and mild discomfort for about two to three weeks.  Once my bloodpressure reached its lowest point I no longer had headaches, nose bleeds, or swollen hands and feet.",2,5,10,1,4,"overal experi posit littl side effect blood pressur medicin drop blood pressur 180100 11770 3 month lower blood pressur prevent heart diseas risk stroke ailment associ hypertens","month rapid drop blood pressur result slight dizzi mild discomfort two three week bloodpressur reach lowest point longer headach nose bleed swollen hand feet"
"premarin",9,"Highly Effective","No Side Effects","aging","There was a decrease in dryness and discomfort.  I thought there also was a benefit to my mood and outlook.  Additionally my skin was more supple and had better color.  There was no pain associated as before.","I did not notice any adverse side effects.  Perhaps just a little bloating the day after, but that problem quickly resolved itself by drinking more water.",1,5,10,1,5,"decreas dryness discomfort thought also benefit mood outlook addit skin suppl better color pain associ","notic advers side effect perhap just littl bloat day problem quick resolv drink water"
"norpramin",6,"Moderately Effective","Mild Side Effects","migraine","no a.m. headaches","mild drowsiness",2,3,6,1,4,"headach","mild drowsi"
"cymbalta",7,"Considerably Effective","Mild Side Effects","depression/anxiety","Taking the medicine was only once a day at the time I chose to take it. It helped me most during stressed situations of any size. I could handle anything and not get angry.","Mild headache and mild stomach ache",2,4,8,1,4,"take medicin day time chose take help stress situat size handl anyth get angri","mild headach mild stomach ach"
"protonix",7,"Considerably Effective","Mild Side Effects","gi irritation","Significant reduction in the amount of pain that patient had on a daily basis.  Pain was not only lessened by time it was felt was lessened as well","This medication, or the combination of the medication with naproxen, caused bouts of diarrhea and/or constipation.",2,4,8,1,4,"signific reduct amount pain patient daili basi pain lessen time felt lessen well","medic combin medic naproxen caus bout diarrhea andor constip"
"topicort",6,"Considerably Effective","No Side Effects","itchy and irritated skin","After applying the medicament, the itching sensation reduced after 20 minutes and irritation slowly dissapeared after 10 days, The irritation  occasionally re-occurred. I have applied the medicament occasionally (about twice a month) when the irritation re-occured for about oone years. Now the irritation never reappears","none",1,4,8,1,5,"appli medica itch sensat reduc 20 minut irrit slowli dissapear 10 day irrit occasion reoccur appli medica occasion twice month irrit reoccur oon year now irrit never reappear","none"
"effexor-xr",10,"Highly Effective","Mild Side Effects","dysthymia","decrease in moodiness, irritability, cessation of depression/dysthymia related symptoms.","first 2 weeks: chronic yawm, grogginess(subsided abfter 2 weeks)


insomnia",2,5,10,1,4,"decreas moodi irrit cessat depressiondysthymia relat symptom","first 2 week chronic yawm grogginesssubsid abfter 2 week insomnia"
"lumigan",9,"Considerably Effective","Mild Side Effects","hair growth","moderate eyelashn growth  but no change in eyelash color","small red capillaries noticed at the lashline and going ip lid about 2mm.This gives an appearance of a darker lid but the skin is not darker",2,4,8,1,4,"moder eyelashn growth chang eyelash color","small red capillari notic lashlin go ip lid 2mmthis give appear darker lid skin darker"
"ambien",7,"Moderately Effective","Mild Side Effects","insomnia","Made me sleepy enough to shut down and go to bed, although it typically still took  me hours to get to sleep. The sleep that I got from this medication was deep and refreshing.","Extreme drowsiness the next morning/afternoon, dependence, slight headache.",2,3,6,1,4,"made sleepi enough shut go bed although typic still took hour get sleep sleep got medic deep refresh","extrem drowsi next morningafternoon depend slight headach"
"allegra",8,"Considerably Effective","Mild Side Effects","sinusitis","I have a recurring sinus problem wherein my nasal passages get blocked and throat and vocals are affected.


This is aggravated by my smoking as well.","The drug was considerably free of side effects. Though i don't know whether this was due to the drug, but i did get sleepy more often than usual.",2,4,8,1,4,"recur sinus problem wherein nasal passag get block throat vocal affect aggrav smoke well","drug consider free side effect though dont know whether due drug get sleepi often usual"
"fluconazole",9,"Considerably Effective","No Side Effects","yeast infection","After about five days the yeast infection symptoms (itchiness, pain) disappeared.","None.",1,4,8,1,5,"five day yeast infect symptom itchi pain disappear","none"
"metformin",8,"Highly Effective","Mild Side Effects","infertility","after one year of taking this drug pregnancy was acheived via IVF and successfully carried to term with help of blood thinner heparin","the side effects included mood swings, stomach upsets, head aches",2,5,10,1,4,"one year take drug pregnanc acheiv via ivf success carri term help blood thinner heparin","side effect includ mood swing stomach upset head ach"
"zithromax",10,"Highly Effective","Mild Side Effects","pneumonia","It cleared up my coughing within 2 days.  I could sleep far better at night.","I had mild diarrhea, though I'm not sure if it was due to the drug.",2,5,10,1,4,"clear cough within 2 day sleep far better night","mild diarrhea though im sure due drug"
"grifulvin-v",10,"Highly Effective","No Side Effects","fungus","The benefits of the treatment were clearing a fungal infection that plaqued me for a few months.","I did not experince any treatment side effects. However, I did get pregnant while taking the medicine, but I did not have any complications.",1,5,10,1,5,"benefit treatment clear fungal infect plaqu month","experinc treatment side effect howev get pregnant take medicin complic"
"lumigan",8,"Highly Effective","Mild Side Effects","longer eyelashes","The Lumigan made my lashes grown longer and thicker. I didn't need to use as much mascara.","I got itchy eyelids. The itching was fairly mild.",2,5,10,1,4,"lumigan made lash grown longer thicker didnt need use much mascara","got itchi eyelid itch fair mild"
"imitrex",10,"Highly Effective","No Side Effects","migraine","Once a day, sometimes 2 in a 24 hour period depending on the severe headache","none",1,5,10,1,5,"day sometim 2 24 hour period depend sever headach","none"
"vicodin",7,"Considerably Effective","Severe Side Effects","i got my toothpulled","I took the drug shortly after having my tooth pulled.  I never noticed a great amount of pain, and contribute this to the laughing gas and novicane during the proceduce, and taking the vicadin shortly after the procedure. I took the vicadin drug twice because after several hours I started to feel pain again.  It was effective in reliefing my pain.","After taking the drug, I became sick to my stomach.  I threw up everything that I had consumed prior to the procedure.  This feeling stayed with me for several hours.  I initally thought I was sick, because I did not eat when I took the first dosage.  I then took another dose, but this time I made myself eat a little something, (I could not eat much at this point), but it mattered not...I got sick again.  I threw the rest of the presciption out.",4,4,6,1,2,"took drug short tooth pull never notic great amount pain contribut laugh gas novican proceduc take vicadin short procedur took vicadin drug twice sever hour start feel pain effect relief pain","take drug becam sick stomach threw everyth consum prior procedur feel stay sever hour init thought sick eat took first dosag took anoth dose time made eat littl someth eat much point matter noti got sick threw rest prescipt"
"proscar",1,"Moderately Effective","Severe Side Effects","hair loss","I noticed hair regrowth in small amounts but did not know my genitals were shrinking.  A friend told me of his testicles shrinking on the drug and so I examined myself and realized that what once was, was no more.","Testiclular Atrophy (permenent shrinkage). I actually have one testicle now smaller than the other.  I pray everyday that the pain will go away and that my buddies will come back but I dont think they will.  As for penile shrinkage, imagine a button on a sweater.  This drug is poison and Im looking for a class action suit.  DO NOT TAKE THIS DRUG!!!!!!!!",4,3,6,0,2,"notic hair regrowth small amount know genit shrink friend told testicl shrink drug examin realiz","testiclular atrophi permen shrinkag actual one testicl now smaller pray everyday pain will go away buddi will come back dont think will penil shrinkag imagin button sweater drug poison im look class action suit take drug"
"tri-luma",8,"Considerably Effective","Mild Side Effects","acne, melasma","lightning of dark pigments","some dry skin especially under eye area",2,4,8,1,4,"lightn dark pigment","dri skin especi eye area"
"triphasil",10,"Highly Effective","No Side Effects","contraception","General Medical:  The treatment is for contraception.  I used it for weight control, skin problems and as a contraception, it was very effective for all of it except that when i left the medication I experienced severe hair loss which i was not warned about","severe hair loss after terminating the pill, but no others whilst on it",1,5,10,1,5,"general medic treatment contracept use weight control skin problem contracept effect except left medic experienc sever hair loss warn","sever hair loss termin pill other whilst"
"cipro",1,"Ineffective","Extremely Severe Side Effects","possible uti","none...I am reguired to write fifty words bon the treatment benefits but since I had to discontinue the drug or die there were no benefits and I would be telling a bald faced lie if I said there were and but I will keep on typing so that I comply with the request for the fifty word minimun","severe heart palpitations


severe panic attack involving racing morbid thoughts with fear of dying


that stuff is poison...google side effects


I also suffered head aches and leg and foot cramps and this was from only three 500 mg doses which is very scarey in my opinion",5,1,2,0,1,"nonei reguir write fifti word bon treatment benefit sinc discontinu drug die benefit tell bald face lie said will keep type compli request fifti word minimun","sever heart palpit sever panic attack involv race morbid thought fear die stuff poisongoogl side effect also suffer head ach leg foot cramp three 500 mg dose scarey opinion"
"celexa",8,"Considerably Effective","Mild Side Effects","depression","when the drug actually kicked in, after about 10 days as i recall, it was an amazing experience.I got out of bed and was walking to the bathroom to shower. I was whistling!!!I stopped and thought, hey whats going on here. I realized I felt great, like a heavy weight had been lifted from my shoulders. I felt better than i had felt for a hell of a long time. Never forget it, a fantastic feeling.Truly helped me to cope with the stress of business and relationships.I have recommended it two occasions both had a similar experience to my own.","quite severe night sweats and yawning,dry mouth,ejaculation disorder (not always a bad thing)",2,4,8,1,4,"drug actual kick 10 day recal amaz experiencei got bed walk bathroom shower whistlingi stop thought hey what go realiz felt great like heavi weight lift shoulder felt better felt hell long time never forget fantast feelingtruli help cope stress busi relationshipsi recommend two occas similar experi","quit sever night sweat yawningdri mouthejacul disord alway bad thing"
"risperdal",3,"Marginally Effective","Severe Side Effects","bi-polar mania with anger issues","it controls my anger pretty good.","NO SEX DRIVE whatsoever.. NO energy, just apathy. always hungry. muscle pain, my mind is a total blank. no interest in living a life..",4,2,4,0,2,"control anger pretti good","sex drive whatsoev energi just apathi alway hungri muscl pain mind total blank interest live life"
"clonazepam",10,"Considerably Effective","No Side Effects","anxiety insomnia","reduction of anxiety, better sleep quality, reduced gi symptoms (stress related)","Drowsiness in the morning.",1,4,8,1,5,"reduct anxieti better sleep qualiti reduc gi symptom stress relat","drowsi morn"
"zoloft",7,"Considerably Effective","Mild Side Effects","depresson/anxiety","It works very well for anxiety. As for depression, it works but when I get into an episode of MAJOR depression, it seems to be somewhat ineffective at those times.","Dry mouth",2,4,8,1,4,"work well anxieti depress work get episod major depress seem somewhat ineffect time","dri mouth"
"motrin",9,"Considerably Effective","No Side Effects","severe headache","Ibuprofen generally took away the pain especially when taken early in the onset of the severe headaches.  At times when the pain was already established prior to taking the medication the pain was less effective - sometimes mildly and at other times not at all effective. Ibuprofen in this dose was the medication that best took away the headache pain over any other medication. If it did not work I might try an over-the-counter acetominophin (sp) product.  These were sometimes effective for mild headaches but for the severe headaches if ibuprofen didi not work, generally nothing did.","There did not seem to be any side effects of the ibuprofen. I almost always tried to make sure and eat something or drink milk when taking the medication as indicated to take with food.  I didn't experience any problems even when taking the maximum dosage suggested, 3 within a 24 hour period.",1,4,8,1,5,"ibuprofen general took away pain especi taken earli onset sever headach time pain alreadi establish prior take medic pain less effect sometim mild time effect ibuprofen dose medic best took away headach pain medic work might tri overthecount acetominophin sp product sometim effect mild headach sever headach ibuprofen didi work general noth","seem side effect ibuprofen almost alway tri make sure eat someth drink milk take medic indic take food didnt experi problem even take maximum dosag suggest 3 within 24 hour period"
"ambien",9,"Highly Effective","Mild Side Effects","insomnia","treated the insomnia effectively.","morning residual effects, drowsiness. tendency for dependency.",2,5,10,1,4,"treat insomnia effect","morn residu effect drowsi tendenc depend"
"provigil",9,"Highly Effective","No Side Effects","fatigue / malaise due to infections","Provigil allows for better wakefulness in the daytime which in turn assists in better sleep. It also indirectly boosts mood by allowing some level of function during a chronic illness where things can easily spiral downward.","There were no side affects until reached 600 mg / day.  This is above the normal dose but within dosing guidelines.",1,5,10,1,5,"provigil allow better wake daytim turn assist better sleep also indirect boost mood allow level function chronic ill thing can easili spiral downward","side affect reach 600 mg day normal dose within dose guidelin"
"voltaren",10,"Highly Effective","No Side Effects","tennis elbow","elimination of pain in elbow .reduction in general muscle discomfort to rest of body after gym workout.","none at all during the day or evening",1,5,10,1,5,"elimin pain elbow reduct general muscl discomfort rest bodi gym workout","none day even"
"prinivil",9,"Highly Effective","Mild Side Effects","seizure, hbp, cholesterol","BP running normal - no seizure activity - cholesterol good","Lisinopril - dry cough from time to time, but it has lessened - almost none",2,5,10,1,4,"bp run normal seizur activ cholesterol good","lisinopril dri cough time time lessen almost none"
"metrogel",6,"Moderately Effective","No Side Effects","rosecea","less red spots, helped remove red spots...which were usually worse after hot shower, but I enjoy that so I use the metrogel after that when symptoms are worse and it seems to help. I enjoy  coffee, wine, hot spices, hot showers, really only limit sun exposure and the rosecea seems better. Also in the morning if I notice red spots it seems to help.","none",1,3,8,1,5,"less red spot help remov red spotswhich usual wors hot shower enjoy use metrogel symptom wors seem help enjoy coffe wine hot spice hot shower realli limit sun exposur rosecea seem better also morn notic red spot seem help","none"
"maxalt",9,"Highly Effective","Moderate Side Effects","migraines","After about an hour, headaches disappear. This drug works better for me than other drugs taken before the year 2000, such as Imitrex and Zomig which I took for migraines. Imitrex sped up my heart which scared me. Zomig took 2 hours to work for me.


Maxalt changed my life as I finally am able to function instead of wasting a whole day in a dark room in tears from the pain of migraine. I do not miss work days anymore.","Dry mouth and increased appetite which is preferable to the throbbing head pain and nausea of migraine.


Sometimes I feel a bit sleepy but not so much that I cannot function or drive. Maxalt is more gentle on my system than Imitrex and Zomig. On rare occasions, I have to take 2 Maxalt in a 24 hour period. I do not feel addicted in any way. I always carry Maxalt with me just in case. Works best at first sign of migraine.",3,5,8,1,3,"hour headach disappear drug work better drug taken year 2000 imitrex zomig took migrain imitrex sped heart scare zomig took 2 hour work maxalt chang life final abl function instead wast whole day dark room tear pain migrain miss work day anymor","dri mouth increas appetit prefer throb head pain nausea migrain sometim feel bit sleepi much function drive maxalt gentl system imitrex zomig rare occas take 2 maxalt 24 hour period feel addict way alway carri maxalt just case work best first sign migrain"
"naproxen",10,"Highly Effective","No Side Effects","arthritis","I fractured of my ankle 30 years ago and about 3 years ago I developed arthritis in the same joint (but nowhere else) which was very painful and caused swelling, redness and reduced movement.  I tried all sorts of treatment (aspirin, ibuprofen and a number of recommended natural remedies, the best of which can be said they made things no worse).  I was prescribed naproxen and this has worked really well, so much so that I have thought on a couple of occasions that I have been 'cured', but within a few days of stopping the tablets twinges reappear.","None noticed",1,5,10,1,5,"fractur ankl 30 year ago 3 year ago develop arthriti joint nowher els pain caus swell red reduc movement tri sort treatment aspirin ibuprofen number recommend natur remedi best can said made thing wors prescrib naproxen work realli well much thought coupl occas cure within day stop tablet twing reappear","none notic"
